team_a,team_b,kalshi_event,polymarket_event,kalshi_yes_a,poly_yes_a,kalshi_yes_b,poly_yes_b,kalshi_url,polymarket_url
cardinals,seahawks,SEA Seahawks vs ARI Cardinals,Seahawks vs. Cardinals,0.27,0.255,0.75,0.745,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20seaari,https://polymarket.com/event/nfl-sea-ari-2026-09-20
chargers,raiders,LV Raiders vs LA Chargers,Raiders vs. Chargers,0.8,0.8,0.21,0.2,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20lvlac,https://polymarket.com/event/nfl-lv-lac-2026-09-20
chiefs,colts,IND Colts vs KC Chiefs,Colts vs. Chiefs,0.73,0.72,0.28,0.28,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20indkc,https://polymarket.com/event/nfl-ind-kc-2026-09-21
colts,ravens,Baltimore vs Indianapolis,Ravens vs. Colts,0.39,0.395,0.61,0.605,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13balind,https://polymarket.com/event/nfl-bal-ind-2026-09-13
commanders,cowboys,WAS Commanders vs DAL Cowboys,Commanders vs. Cowboys,0.35,0.33,0.67,0.67,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20wasdal,https://polymarket.com/event/nfl-was-dal-2026-09-20
commanders,eagles,Washington vs Philadelphia,Commanders vs. Eagles,0.32,0.315,0.68,0.685,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13wasphi,https://polymarket.com/event/nfl-was-phi-2026-09-13
cowboys,giants,Dallas vs New York G,Cowboys vs. Giants,0.61,0.605,0.41,0.395,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13dalnyg,https://polymarket.com/event/nfl-dal-nyg-2026-09-14
dolphins,raiders,Miami vs Las Vegas,Dolphins vs. Raiders,0.4,0.395,0.6,0.605,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13mialv,https://polymarket.com/event/nfl-mia-lv-2026-09-13
eagles,titans,PHI Eagles vs TEN Titans,Eagles vs. Titans,0.71,0.69,0.31,0.31,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20phiten,https://polymarket.com/event/nfl-phi-ten-2026-09-20
falcons,panthers,CAR Panthers vs ATL Falcons,Panthers vs. Falcons,0.53,0.53,0.49,0.47,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20caratl,https://polymarket.com/event/nfl-car-atl-2026-09-20
falcons,steelers,Atlanta vs Pittsburgh,Falcons vs. Steelers,0.33,0.325,0.68,0.675,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13atlpit,https://polymarket.com/event/nfl-atl-pit-2026-09-13
giants,rams,NY Giants vs LA Rams,Giants vs. Rams,0.19,0.18,0.83,0.82,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep21nyglar,https://polymarket.com/event/nfl-nyg-la-2026-09-22
jets,packers,GB Packers vs NY Jets,Packers vs. Jets,0.33,0.32,0.7,0.68,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20gbnyj,https://polymarket.com/event/nfl-gb-nyj-2026-09-20
jets,titans,New York J vs Tennessee,Jets vs. Titans,0.48,0.485,0.52,0.515,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13nyjten,https://polymarket.com/event/nfl-nyj-ten-2026-09-13
lions,saints,New Orleans vs Detroit,Saints vs. Lions,0.75,0.745,0.26,0.255,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13nodet,https://polymarket.com/event/nfl-no-det-2026-09-13
packers,vikings,Green Bay vs Minnesota,Packers vs. Vikings,0.47,0.455,0.54,0.545,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13gbmin,https://polymarket.com/event/nfl-gb-min-2026-09-13
patriots,steelers,PIT Steelers vs NE Patriots,Steelers vs. Patriots,0.66,0.655,0.37,0.345,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20pitne,https://polymarket.com/event/nfl-pit-ne-2026-09-20
ravens,saints,NO Saints vs BAL Ravens,Saints vs. Ravens,0.79,0.78,0.22,0.22,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20nobal,https://polymarket.com/event/nfl-no-bal-2026-09-20
